00=42|93467|13333
01=48|112258|1291
02=33|84953|1328
03=67|126004|1671
04=34|86281|1446
05=64|122279|2098
06=32|82572|2381
07=28|75981|2418
0700=1|0|8986
08=59|117573|1682
0800=11|47739|9161
09=60|119255|1623
1=82|150618|283
10=20|68430|1498
11=29|78399|1363
12=24|72598|1507
13=47|110202|2056
14=8|26042|1579
15=23|71418|1180
16=15|62334|1046
17=5|19325|1310
18=6|20635|1261
19=21|69928|1090
1979=93|158878|26
1999=79|142160|51
2=90|155725|510
20=27|74952|1029
2000=81|143516|7102
2001=9|27621|10957
2002=97|162318|26
21=39|90483|862
22=35|87727|1130
23=40|91345|1720
24=76|138643|1102
25=66|124734|1270
26=46|108388|1814
27=16|63380|1270
28=49|113549|863
29=36|88857|912
3=87|154496|361
30=18|67068|867
31=43|106800|857
32=31|82330|242
33=41|93065|402
34=52|115012|373
35=73|136615|321
36=54|115736|457
37=53|115385|351
38=57|116836|430
39=71|132381|541
4=88|154857|422
40=26|74519|433
41=62|121317|434
42=3|10045|294
43=68|127675|374
44=45|107955|433
45=63|121751|528
46=14|62013|321
47=70|132084|297
48=50|114412|356
49=37|89769|334
5=84|152139|445
50=44|107657|298
51=25|74105|414
52=75|138308|335
53=55|116193|296
54=61|120878|439
55=58|117266|307
56=56|116489|347
57=19|67935|495
58=65|124377|357
59=38|90103|380
6=77|139745|687
7=91|156235|687
8=85|152584|232
9=89|155279|446
apr=94|158904|1715
aug=74|136936|1372
dec=12|56900|2027
feb=86|152816|1680
fri=30|79762|2568
jan=80|142211|1305
jul=96|161311|1007
jun=95|160619|692
mar=92|156922|1956
may=2|8986|1059
mon=7|21896|4146
nov=78|140432|1728
oct=17|64650|2418
pdt=4|10339|8986
pst=10|38578|9161
sat=51|114768|244
sep=83|150901|1238
sun=22|71018|400
thu=13|58927|3086
tue=72|132922|3693
wed=69|128049|4035
